cryptoName,date,open,close,high,low,average,volume,trade_count,vwap,timestamp
BTC/USD,04/11/2021,59861.83,60051.19,60568.65,59160.77,59864.71,498.996196,29347.0,59751.4238166618,2021-04-11 05:00:00+00:00
BTC/USD,04/12/2021,60079.24,60517.63,61210.99,59362.91,60286.95,969.46444,44072.0,60263.121956336,2021-04-12 05:00:00+00:00
BTC/USD,04/13/2021,60560.18,64286.05,64293.06,60422.3,62357.68,1360.040619,67025.0,62772.4087401794,2021-04-13 05:00:00+00:00
BTC/USD,04/14/2021,64286.05,62965.16,64967.23,61208.0,63087.615000000005,1623.438848,69977.0,63098.5416609551,2021-04-14 05:00:00+00:00
BTC/USD,04/15/2021,62965.16,61695.13,63866.3,61627.36,62746.83,840.557082,53260.0,62853.4823672693,2021-04-15 05:00:00+00:00
BTC/USD,04/16/2021,61711.46,62271.48,62561.4,60062.94,61312.17,1349.795389,72080.0,61460.5015140809,2021-04-16 05:00:00+00:00
BTC/USD,04/17/2021,62269.52,55000.0,62500.0,51722.01,57111.005000000005,1772.171548,83598.0,58035.2438698969,2021-04-17 05:00:00+00:00
BTC/USD,04/18/2021,55000.0,57052.0,57401.64,53150.39,55276.015,2484.20005,96172.0,55443.8066456326,2021-04-18 05:00:00+00:00
BTC/USD,04/19/2021,57052.0,55319.44,57600.0,53520.66,55560.33,2420.555737,88292.0,55529.4379322257,2021-04-19 05:00:00+00:00
BTC/USD,04/20/2021,55320.0,55431.8,57117.1,53415.7,55266.399999999994,2014.26823,85035.0,55753.2275976146,2021-04-20 05:00:00+00:00
BTC/USD,04/21/2021,55431.79,54266.55,56379.97,52600.0,54489.985,1701.800968,83303.0,54726.7806786391,2021-04-21 05:00:00+00:00
BTC/USD,04/22/2021,54276.69,49147.47,55459.57,48500.0,51979.785,2739.831835,111778.0,52294.1996076741,2021-04-22 05:00:00+00:00
BTC/USD,04/23/2021,49132.2,50480.93,51366.08,47475.0,49420.54,1910.420791,89916.0,49688.6340006587,2021-04-23 05:00:00+00:00
BTC/USD,04/24/2021,50473.23,49656.48,51079.24,48721.97,49900.604999999996,1016.284477,51532.0,50001.4303284686,2021-04-24 05:00:00+00:00
BTC/USD,04/25/2021,49679.19,52347.01,52801.01,47011.0,49906.005000000005,1843.711059,79643.0,49743.1428558145,2021-04-25 05:00:00+00:00
BTC/USD,04/26/2021,52364.01,53527.55,54413.68,52129.54,53271.61,1310.491523,63501.0,53520.820091867,2021-04-26 05:00:00+00:00
BTC/USD,04/27/2021,53528.84,54881.73,55781.09,53489.22,54635.155,990.784933,63410.0,54929.9353743315,2021-04-27 05:00:00+00:00
BTC/USD,04/28/2021,54886.13,53607.03,56491.0,53580.0,55035.5,916.780184,58370.0,54770.5533093085,2021-04-28 05:00:00+00:00
BTC/USD,04/29/2021,53607.03,54179.29,54748.49,52352.95,53550.72,871.856003,52777.0,53557.2074492597,2021-04-29 05:00:00+00:00
BTC/USD,04/30/2021,54176.58,58141.4,58526.98,53954.85,56240.915,1312.256321,69901.0,56745.0743360366,2021-04-30 05:00:00+00:00
BTC/USD,05/01/2021,58118.48,56948.84,58472.0,56231.63,57351.815,581.582432,44066.0,57534.2231985499,2021-05-01 05:00:00+00:00
BTC/USD,05/02/2021,56948.96,57846.84,58316.94,56084.56,57200.75,683.703283,42949.0,57005.7195239867,2021-05-02 05:00:00+00:00
BTC/USD,05/03/2021,57852.4,55860.24,58978.28,54687.64,56832.96,1230.697383,69971.0,57065.198058138,2021-05-03 05:00:00+00:00
BTC/USD,05/04/2021,55860.7,54545.41,56649.91,52946.9,54798.405,1585.145509,90988.0,54800.189209954,2021-05-04 05:00:00+00:00
BTC/USD,05/05/2021,54565.1,57011.83,57997.16,53965.2,55981.18,1390.516232,84915.0,56614.7086094667,2021-05-05 05:00:00+00:00
BTC/USD,05/06/2021,57016.22,55871.7,58431.01,55263.11,56847.06,1296.601255,80837.0,56604.6111480314,2021-05-06 05:00:00+00:00
BTC/USD,05/07/2021,55860.64,58118.42,58719.85,55624.46,57172.155,1137.77739,82535.0,57435.0300465292,2021-05-07 05:00:00+00:00
BTC/USD,05/08/2021,58118.42,58202.85,59549.79,57548.69,58549.240000000005,1478.502303,74346.0,58729.6429174718,2021-05-08 05:00:00+00:00
BTC/USD,05/09/2021,58196.56,59240.0,59586.81,56272.77,57929.78999999999,937.35951,60839.0,57952.4804152987,2021-05-09 05:00:00+00:00
BTC/USD,05/10/2021,59240.0,55374.76,59500.0,53617.27,56558.634999999995,1791.919874,95324.0,56488.8993197797,2021-05-10 05:00:00+00:00
BTC/USD,05/11/2021,55385.29,57414.82,58043.47,54655.65,56349.56,905.824264,62503.0,56276.2705813176,2021-05-11 05:00:00+00:00
BTC/USD,05/12/2021,57421.48,50514.88,57564.84,46302.22,51933.53,2870.355314,130452.0,52092.7376776479,2021-05-12 05:00:00+00:00
BTC/USD,05/13/2021,50491.12,49222.32,51413.21,47017.23,49215.22,2757.745797,113807.0,49358.725895436,2021-05-13 05:00:00+00:00
BTC/USD,05/14/2021,49254.58,49367.79,51566.38,48925.0,50245.69,1327.351552,73078.0,50250.7151238531,2021-05-14 05:00:00+00:00
BTC/USD,05/15/2021,49355.88,48101.33,49777.45,46499.0,48138.225,1447.561285,88475.0,48158.7432861909,2021-05-15 05:00:00+00:00
BTC/USD,05/16/2021,48099.99,43584.9,49788.77,42200.0,45994.384999999995,2957.116291,123002.0,45746.4511526523,2021-05-16 05:00:00+00:00
BTC/USD,05/17/2021,43584.77,45358.15,45822.27,42136.12,43979.195,2801.327096,131985.0,44032.5822384528,2021-05-17 05:00:00+00:00
BTC/USD,05/18/2021,45361.33,39310.0,45836.18,38500.0,42168.09,3200.405284,124809.0,42182.4982711498,2021-05-18 05:00:00+00:00
BTC/USD,05/19/2021,39302.06,39477.17,40767.57,30125.0,35446.285,6907.211148,218854.0,37466.5854275355,2021-05-19 05:00:00+00:00
BTC/USD,05/20/2021,39475.19,40018.57,42529.81,38209.65,40369.729999999996,3879.508331,161203.0,40587.8775011455,2021-05-20 05:00:00+00:00
BTC/USD,05/21/2021,40020.27,36349.98,41772.79,33511.02,37641.905,4944.887341,160455.0,37542.5971935797,2021-05-21 05:00:00+00:00
BTC/USD,05/22/2021,36347.23,37226.41,38871.0,35262.75,37066.875,2630.089345,121041.0,37538.0958005395,2021-05-22 05:00:00+00:00
BTC/USD,05/23/2021,37231.65,34935.48,37352.79,31120.0,34236.395000000004,5220.765007,150788.0,34088.7875450339,2021-05-23 05:00:00+00:00
BTC/USD,05/24/2021,34926.53,38402.96,39987.11,34822.07,37404.59,3213.149693,148603.0,37851.7281045631,2021-05-24 05:00:00+00:00
BTC/USD,05/25/2021,38426.0,39440.94,39729.52,36497.88,38113.7,2286.924128,119471.0,38061.7223553747,2021-05-25 05:00:00+00:00
BTC/USD,05/26/2021,39427.86,37780.18,40878.61,37195.49,39037.05,2768.343992,111576.0,39039.2451946449,2021-05-26 05:00:00+00:00
BTC/USD,05/27/2021,37788.05,37367.39,40425.27,37292.94,38859.104999999996,2137.787424,94227.0,38844.0893913513,2021-05-27 05:00:00+00:00
BTC/USD,05/28/2021,37357.7,35735.61,37600.88,34711.85,36156.365,3810.201591,132806.0,36143.8405998229,2021-05-28 05:00:00+00:00
BTC/USD,05/29/2021,35728.19,34754.31,37307.84,33428.38,35368.11,3191.975308,119590.0,34761.0924263192,2021-05-29 05:00:00+00:00
